=== IMM_GEN UNIT TEST REPORT ===
PASS | Input: 0xdb6 ImmSrc: 1 -> ext=0xfdb6 lui=0xd800
PASS | Input: 0xa46 ImmSrc: 0 -> ext=0x6 lui=0x1800
PASS | Input: 0x1f7 ImmSrc: 1 -> ext=0x1f7 lui=0xdc00
PASS | Input: 0xab4 ImmSrc: 0 -> ext=0xfff4 lui=0xd000
PASS | Input: 0x928 ImmSrc: 1 -> ext=0xf928 lui=0xa000
PASS | Input: 0xc7 ImmSrc: 0 -> ext=0x7 lui=0x1c00
PASS | Input: 0x408 ImmSrc: 0 -> ext=0x8 lui=0x2000
PASS | Input: 0x6fd ImmSrc: 1 -> ext=0x6fd lui=0xf400
PASS | Input: 0x1c ImmSrc: 0 -> ext=0x1c lui=0x7000
PASS | Input: 0x8da ImmSrc: 1 -> ext=0xf8da lui=0x6800
PASS | Input: 0x766 ImmSrc: 0 -> ext=0xffe6 lui=0x9800
PASS | Input: 0x473 ImmSrc: 0 -> ext=0xfff3 lui=0xcc00
PASS | Input: 0x35e ImmSrc: 0 -> ext=0x1e lui=0x7800
PASS | Input: 0x5d5 ImmSrc: 0 -> ext=0x15 lui=0x5400
PASS | Input: 0xb9 ImmSrc: 1 -> ext=0xb9 lui=0xe400
PASS | Input: 0x796 ImmSrc: 0 -> ext=0x16 lui=0x5800
PASS | Input: 0xf26 ImmSrc: 0 -> ext=0xffe6 lui=0x9800
PASS | Input: 0x37d ImmSrc: 0 -> ext=0xfffd lui=0xf400
PASS | Input: 0x786 ImmSrc: 0 -> ext=0x6 lui=0x1800
PASS | Input: 0xb7e ImmSrc: 1 -> ext=0xfb7e lui=0xf800
PASS | Input: 0x6cf ImmSrc: 1 -> ext=0x6cf lui=0x3c00
PASS | Input: 0x4fa ImmSrc: 1 -> ext=0x4fa lui=0xe800
PASS | Input: 0x917 ImmSrc: 1 -> ext=0xf917 lui=0x5c00
PASS | Input: 0x186 ImmSrc: 0 -> ext=0x6 lui=0x1800
PASS | Input: 0x9f5 ImmSrc: 1 -> ext=0xf9f5 lui=0xd400
PASS | Input: 0xa29 ImmSrc: 1 -> ext=0xfa29 lui=0xa400
PASS | Input: 0x4c5 ImmSrc: 0 -> ext=0x5 lui=0x1400
PASS | Input: 0xb4b ImmSrc: 1 -> ext=0xfb4b lui=0x2c00
PASS | Input: 0x6ec ImmSrc: 0 -> ext=0xffec lui=0xb000
PASS | Input: 0x14e ImmSrc: 0 -> ext=0xe lui=0x3800
PASS | Input: 0xda9 ImmSrc: 1 -> ext=0xfda9 lui=0xa400
PASS | Input: 0x90e ImmSrc: 0 -> ext=0xe lui=0x3800
PASS | Input: 0x9f ImmSrc: 0 -> ext=0x1f lui=0x7c00
PASS | Input: 0xd2a ImmSrc: 1 -> ext=0xfd2a lui=0xa800
PASS | Input: 0xf9e ImmSrc: 0 -> ext=0x1e lui=0x7800
PASS | Input: 0x879 ImmSrc: 0 -> ext=0xfff9 lui=0xe400
PASS | Input: 0x5ca ImmSrc: 1 -> ext=0x5ca lui=0x2800
PASS | Input: 0x96b ImmSrc: 1 -> ext=0xf96b lui=0xac00
PASS | Input: 0xdb6 ImmSrc: 0 -> ext=0xfff6 lui=0xd800
PASS | Input: 0xbc4 ImmSrc: 1 -> ext=0xfbc4 lui=0x1000
PASS | Input: 0x392 ImmSrc: 0 -> ext=0x12 lui=0x4800
PASS | Input: 0xb7f ImmSrc: 0 -> ext=0xffff lui=0xfc00
PASS | Input: 0x5fa ImmSrc: 0 -> ext=0xfffa lui=0xe800
PASS | Input: 0x132 ImmSrc: 1 -> ext=0x132 lui=0xc800
PASS | Input: 0xd84 ImmSrc: 0 -> ext=0x4 lui=0x1000
PASS | Input: 0xfca ImmSrc: 1 -> ext=0xffca lui=0x2800
PASS | Input: 0x8a1 ImmSrc: 0 -> ext=0xffe1 lui=0x8400
PASS | Input: 0xafb ImmSrc: 1 -> ext=0xfafb lui=0xec00
PASS | Input: 0xef ImmSrc: 1 -> ext=0xef lui=0xbc00
PASS | Input: 0x536 ImmSrc: 1 -> ext=0x536 lui=0xd800
PASS | Input: 0x68f ImmSrc: 1 -> ext=0x68f lui=0x3c00
PASS | Input: 0x788 ImmSrc: 0 -> ext=0x8 lui=0x2000
PASS | Input: 0x19b ImmSrc: 0 -> ext=0x1b lui=0x6c00
PASS | Input: 0xf28 ImmSrc: 1 -> ext=0xff28 lui=0xa000
PASS | Input: 0xf4b ImmSrc: 0 -> ext=0xb lui=0x2c00
PASS | Input: 0x61e ImmSrc: 1 -> ext=0x61e lui=0x7800
PASS | Input: 0xdec ImmSrc: 0 -> ext=0xffec lui=0xb000
PASS | Input: 0xbd1 ImmSrc: 0 -> ext=0x11 lui=0x4400
PASS | Input: 0x441 ImmSrc: 1 -> ext=0x441 lui=0x400
PASS | Input: 0x9d8 ImmSrc: 1 -> ext=0xf9d8 lui=0x6000
